StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
9242, 13192, 17156, , ,,,2.82897722,+71.75331104,78.2472613458529, 8.17,3.70265426911191,G5          , 0.643
9243, 13193, 17692, , ,,,2.8290844,-20.24638071,429.184549356223, 8.16,-0.00322039486990278,K0III       , 1.048
9244, 13195, 19053, , ,,,2.82959891,-83.56956064,284.900284900285, 8.54,1.26653558232912,K1III       , 1.041
9245, 13196, 17700, , ,,,2.82983696,-20.24604112,1298.7012987013, 7.37,-3.19754637413759,M1III       , 1.582
9246, 13197, 17713, 844,,   Gam1For, ,2.83083169,-24.55999911,111.358574610245, 6.14,0.906381683336522,K0III       , 0.998
9247, 13199, 17613, , ,,,2.8312077,+08.93967875,10000000, 8.74,-6.26,F8+...      , 0.590
9248, 13200, 17765, , ,,,2.8314902,-37.06754158,523.560209424084, 8.79,0.195166836238638,K1III       , 1.057
9249, 13201, 17608, , ,,,2.83151846,+12.65569458,156.494522691706, 8.19,2.217504290792,F2          , 0.440
9250, 13202, 17729, 845,,   Gam2For, ,2.83170863,-27.94203549,170.068027210884, 5.39,-0.763113369619307,A1V         , 0.013
9251, 13203, 17854, , ,,,2.83197088,-55.13570825,165.016501650165, 8.49,2.40236312083143,K0IV        , 0.906
9252, 13204, , , ,,,2.83241428,+66.93795254,186.567164179104, 8.99,2.63582394846385,F8          , 0.486
9253, 13205, 17401, , ,,,2.83250561,+59.24008234,25000, 8.53,-6.47,K0          , 1.201
9254, 13206, 17479, , ,,,2.8326935,+48.80212345,578.034682080925, 8.12,-0.689769484356022,A2...       , 0.636
9255, 13207, 17691, , ,,,2.83278817,-13.84626358,333.333333333333, 7.88,0.265606273598312,K1III       , 1.140
9256, 13208, 17327, , ,,,2.83281324,+64.63080955,336.700336700337, 7.46,-0.176217753413937,B8II        , 0.360
9257, 13209, 17573, 838,, 41    Ari, ,2.8330526,+27.26079044,48.8997555012225, 3.61,0.163466561716803,B8Vn        ,-0.100
9258, 13210, 17572, , ,,,2.83341978,+30.52632898,63.7755102040816, 6.72,2.6967302917421,F0          , 0.398
9259, 13211, 17429, , ,,,2.83342528,+55.49652107,354.609929078014, 8.13,0.381245541596807,A0          , 0.132
9260, 13212, 17665, , ,,,2.83376517,-04.71384923,125.944584382872, 8.73,3.22910251213548,F0          , 0.435
9261, 13214, 17555, , ,,,2.83453835,+33.81751348,306.748466257669, 8.67,1.2360880003397,A0          , 0.208
9262, 13216, , , ,,,2.83530623,-64.01938943,99.009900990099, 8.67,3.69160686891321,F8          , 0.545
9263, 13217, 17496, , ,,,2.83534395,+48.14567048,182.815356489945, 8.09,1.77993663166715,F2          , 0.495
9264, 13218, ,,Gl 114.1A,, ,2.83606831,-53.14019279,13.080444735121,10.72,10.1368874487417,M           , 1.510
9265, 13221, 17179, , ,,,2.83667576,+72.91434829,645.161290322581, 7.85,-1.19834150914854,B8          , 0.240
9266, 13223, 17639, , ,,,2.83692947,+13.71048916,83.1946755407654, 8.14,3.53952233833361,F5          , 0.476
9267, 13224, 17607, , ,,,2.83718295,+25.33366853,80.3858520900322, 7.51,2.984101901774,F0          , 0.408
9268, 13225, 17793, 848,,   Eta2For, ,2.83742968,-35.84368582,153.374233128834, 5.92,-0.00876202134039783,K0III       , 0.899
9269, 13226, 17554, , ,,,2.83753639,+40.81974753,255.754475703325, 8.76,1.72088378697933,A2          , 0.113
9270, 13228, 17650, , ,,,2.8384112,+11.61473684,153.374233128834, 8.78,2.8512379786596,A3          , 0.333
9271, 13231, 17711, , ,,,2.83894592,-06.80661673,349.65034965035, 7.26,-0.458169834354785,K0          , 1.442
